player_id,name,minutes,most_played_position,position,passes_per_90,pass_accuracy,progressive_passes_per_90,progressive_pass_accuracy,long_passes_per_90,long_pass_accuracy,crosses_per_90,cross_accuracy,key_passes_per_90,assists_per_90,passes_received_per_90,shots_per_90,shots_on_target_per_90,shot_accuracy,goals_per_90,xg_per_90,first_time_shots_per_90,headers_per_90,shots_outside_box_per_90,dribbles_per_90,successful_dribbles_per_90,dribble_success_rate,progressive_runs_per_90,fouls_won_per_90,pressures_per_90,blocks_per_90,interceptions_per_90,dribbled_past_per_90,clearances_per_90,ball_recoveries_per_90,fouls_made_per_90,yellow_cards_per_90,red_cards_per_90,duels_per_90,duels_won_per_90,duel_success_rate,touches_per_90,average_position_x,average_position_y,shots_faced_per_90,saves_per_90,goals_conceded_per_90,smothers_per_90,collections_per_90,punches_per_90,sweeper_claims_per_90,sweeper_clears_per_90,save_percentage,smother_success_rate,collection_success_rate,punch_success_rate,sweeper_success_rate,role
6730,Rubén Iván Martínez Andrade,2124.32,Goalkeeper,goalkeeper,17.49736386231829,55.205811138014525,12.32865105068916,37.80068728522337,12.159185056865256,37.63066202090592,0.0,0.0,0.0,0.0,4.872147322437297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0423664984559764,0.0,0.0,0.0,0.0,0.0423664984559764,2.8385553965504253,0.0423664984559764,0.0,0.0423664984559764,0.0,0.0,0.0,41.137870000753175,9.541606591143132,40.52018537590103,7.837802214355651,1.7793929351510127,1.1438954583113654,0.0,0.6778639752956239,0.4236649845597649,0.4660314830157414,0.0423664984559764,22.702702702702705,0.0,93.75,70.0,100.0,Shot Stopper
10763,Asier Riesgo Unamuno,4803.5,Goalkeeper,goalkeeper,19.972936400541272,47.467166979362105,17.218694701779953,40.26115342763873,17.143749349432706,39.89071038251366,0.0,0.0,0.0187363380868117,0.0,5.658374102217134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0187363380868117,0.187363380868117,0.0562090142604351,0.0,0.0,0.0374726761736234,0.1124180285208702,3.9533673363172688,0.0187363380868117,0.0,0.0187363380868117,0.0,0.0,0.0,47.32799000728635,10.92921615201901,40.895368171021545,6.632663682731342,1.5176433850317477,0.9930259186010202,0.0749453523472468,0.9555532424273968,0.4121994379098574,0.5995628187779745,0.3559904236494223,22.88135593220339,75.0,98.0392156862745,59.09090909090909,100.0,Sweeper Keeper
26753,Javier Varas Herrera,4393.57,Goalkeeper,goalkeeper,25.01155097107819,62.40786240786241,14.175260665017287,37.283236994219656,14.543981318153577,37.6056338028169,0.0,0.0,0.0,0.0,11.082104074818428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0614534421893813,0.0614534421893813,100.0,0.0204844807297937,0.1638758458383501,0.1433913651085563,0.0,0.0,0.0204844807297937,0.0409689614595875,3.605268608443703,0.0409689614595875,0.0204844807297937,0.0204844807297937,0.0,0.0,0.0,62.19088349565388,11.045059288537567,40.268840579710165,7.39489754345555,2.027963592249583,0.798894748461957,0.0204844807297937,0.4506585760554629,0.4916275375150504,0.6350189026236068,0.2253292880277314,27.42382271468144,0.0,95.45454545454544,62.5,100.0,Sweeper Keeper
6823,Sergio Rico González,4824.12,Goalkeeper,goalkeeper,19.029377378672173,66.47058823529412,10.39153254894157,40.93357271095152,10.447501305937664,40.17857142857143,0.0,0.0,0.0,0.0,7.201313400164175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1492500186562523,0.0746250093281261,0.0559687569960946,0.037312504664063,0.0186562523320315,0.0186562523320315,2.9850003731250467,0.0,0.0,0.0,0.0,0.0,0.0,49.51369368921171,8.203127354935953,41.33466465712128,8.880376110047015,2.0895002611875326,0.7462500932812617,0.0186562523320315,0.8768438596054825,0.6902813362851671,0.2611875326484416,0.1679062709882839,23.52941176470588,100.0,95.74468085106383,70.27027027027027,100.0,Shot Stopper
27457,Manuel Fernández Muñíz,1090.75,Goalkeeper,goalkeeper,20.21544808617924,46.53061224489796,17.492550997020402,39.62264150943396,17.079990831996334,38.16425120772946,0.0,0.0,0.0825120330048132,0.0,7.6736190694476285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2475360990144396,0.0,0.0,0.0,0.0825120330048132,0.1650240660096264,2.31033692413477,0.0,0.0,0.0,0.0,0.0,0.0,48.517075406830166,11.25408163265304,40.477551020408185,6.931010772404309,1.3201925280770113,1.4027045610818245,0.0,0.6600962640385056,0.4950721980288792,0.5775842310336925,0.4950721980288792,19.047619047619047,0.0,100.0,66.66666666666666,100.0,Sweeper Keeper
6625,Vicente Guaita Panadero,5375.87,Goalkeeper,goalkeeper,19.30292213167357,52.81873373807458,13.292732153121262,32.7455919395466,13.292732153121262,32.7455919395466,0.0,0.0,0.0334829525267538,0.0,6.445468361400108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0167414762633769,0.0167414762633769,100.0,0.0,0.0669659050535076,0.0334829525267538,0.0167414762633769,0.0,0.0502244287901307,0.0,2.9130168698275813,0.0,0.0,0.0,0.0,0.0,0.0,47.395119301620014,9.886329918756656,40.997951253974136,8.00242565389416,2.126167485448867,1.1049374333828756,0.0167414762633769,1.037971528329368,0.6864005267984531,0.4687613353745533,0.2176391914238997,26.569037656903767,100.0,96.7741935483871,78.04878048780488,100.0,Shot Stopper
5577,Francisco Guillermo Ochoa Magaña,1516.6,Goalkeeper,goalkeeper,17.44692074376896,56.80272108843537,11.690623763681922,37.055837563451774,11.927996835025716,37.81094527363184,0.0,0.0,0.0,0.0,5.756296980087037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1186865356718976,0.0593432678359488,0.0,0.0,0.0,3.2045364631412374,0.0,0.0,0.0,0.0,0.0,0.0,42.252406699195575,8.632443820224722,40.72612359550556,6.705789265462219,1.7209547672425165,0.5934326783594884,0.1186865356718976,0.7714624818673349,0.2967163391797442,0.2967163391797442,0.1186865356718976,25.663716814159294,0.0,92.3076923076923,100.0,100.0,Conservative
23843,Diego Mariño Villar,3258.85,Goalkeeper,goalkeeper,22.8945793761603,69.96381182147165,12.869570554029796,47.63948497854077,12.64863372048422,47.59825327510917,0.0,0.0,0.0552342083863939,0.0,8.80985623762984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0276171041931969,0.0276171041931969,100.0,0.0,0.1657026251591819,0.0552342083863939,0.0552342083863939,0.0,0.0276171041931969,0.0,3.6178406493088056,0.0,0.0,0.0,0.0,0.0,0.0,58.18923853506605,9.661794019933572,40.30037968675837,8.89270755020943,2.209368335455759,1.1046841677278796,0.0,1.2980038970802583,0.5799591880571368,0.4971078754775457,0.1933197293523789,24.84472049689441,0.0,97.87234042553192,61.90476190476191,100.0,Shot Stopper
6792,Pau López Sabata,5054.5,Goalkeeper,goalkeeper,17.431991294885744,55.26046986721144,11.929963398951427,37.3134328358209,11.573845088534968,35.38461538461539,0.0,0.0,0.0,0.0,4.843209021663864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1246414086457612,0.1246414086457612,0.035611831041646,0.0,0.035611831041646,0.017805915520823,3.044811554060738,0.0,0.0,0.0,0.0,0.0,0.0,42.85883865862103,9.693394266722086,39.54324885749908,8.17291522405777,1.816203383123949,1.0861608467702049,0.017805915520823,0.8012661984370363,0.3561183104164606,0.3561183104164606,0.3205064793748145,22.22222222222222,0.0,95.55555555555556,70.0,100.0,Shot Stopper
7905,Raúl Lizoáin Cruz,1114.77,Goalkeeper,goalkeeper,23.816572028310773,58.644067796610166,13.321133507360264,34.54545454545455,14.451411501924165,34.63687150837989,0.0,0.0,0.0,0.0,9.365160526386608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1614682849377001,0.08073414246885,0.0,0.0,0.08073414246885,0.0,3.713770553567104,0.0,0.0,0.0,0.0,0.0,0.0,59.58179714201136,8.784552845528458,39.40704607046066,9.76883123873086,2.9871632713474527,1.049543852095051,0.08073414246885,0.8073414246885008,0.6458731397508006,0.4036707123442504,0.4844048548131004,30.57851239669421,100.0,100.0,87.5,100.0,Shot Stopper
6610,Iván Cuéllar Sacristán,4527.05,Goalkeeper,goalkeeper,20.258225555273302,43.179587831207066,15.82487491854519,29.2713567839196,15.804994422416364,28.30188679245283,0.0,0.0,0.0198804961288256,0.0397609922576512,6.262356280580069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1590439690306049,0.0596414883864768,0.0198804961288256,0.0,0.0795219845153024,0.0198804961288256,3.200759876740924,0.0198804961288256,0.0,0.0,0.0,0.0,0.0,49.502435360775785,10.346827309236966,39.26048192771085,8.926342761842701,2.306137550943772,0.9542638141836296,0.0198804961288256,0.8946223257971527,0.6958173645088965,0.5964148838647685,0.2186854574170817,25.83518930957684,100.0,91.11111111111111,74.28571428571429,100.0,Shot Stopper
10612,Yoel Rodríguez Oterino,1272.63,Goalkeeper,goalkeeper,25.03477051460361,64.12429378531074,13.15386247377478,35.483870967741936,12.588104948021028,33.146067415730336,0.0,0.0,0.0707196907192192,0.0,10.678673298602106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1414393814384385,0.0707196907192192,0.0707196907192192,0.0,0.0707196907192192,0.0,4.101742061714717,0.0,0.0,0.0,0.0,0.0,0.0,64.70851700808561,10.19967213114756,40.64207650273223,9.052120412060065,1.90943164941892,1.697272577261262,0.0,0.7071969071921925,0.282878762876877,0.4243181443153155,1.2022347422267272,21.09375,0.0,100.0,75.0,100.0,Sweeper Keeper
